person,snowboard,
person,skis,
vase,person,bottle
cow,,
train,,
cat,keyboard,
person,sheep,
horse,,
bicycle,,
umbrella,person,chair
tv,laptop,keyboard
person,skis,
truck,person,car
dog,frisbee,
person,bus,backpack
person,umbrella,
horse,,
clock,,
chair,refrigerator,dining table
bicycle,person,backpack
dining table,person,bottle
person,sheep,umbrella
tv,cat,bowl
oven,sink,potted plant
person,chair,donut
tv,laptop,keyboard
clock,,
person,refrigerator,horse
person,bus,bicycle
person,skateboard,
person,surfboard,
traffic light,car,
horse,truck,person
cow,person,
train,,
person,backpack,skis
person,backpack,skis
donut,,
chair,cat,car
donut,,
bed,person,laptop
cat,,
person,skis,backpack
refrigerator,,
person,cell phone,toothbrush
stop sign,car,person
train,person,bench
airplane,,
bird,zebra,
bus,,
truck,person,car
frisbee,,
oven,carrot,bottle
person,sink,
refrigerator,bowl,chair
broccoli,person,
elephant,,
bowl,broccoli,knife
dog,car,frisbee
hot dog,,
traffic light,person,potted plant
toilet,bottle,
elephant,,
person,bench,skateboard
bear,,
person,dining table,cup
truck,car,
sink,toilet,
boat,person,umbrella
bed,dog,cat
truck,car,person
car,bird,
stop sign,car,
fire hydrant,bicycle,
bus,,
cat,,
train,person,
bear,,
bus,car,person
chair,book,dining table
kite,person,scissors
parking meter,car,baseball bat
person,dog,umbrella
zebra,,
bear,,
bowl,person,wine glass
elephant,clock,
teddy bear,,
dog,fire hydrant,
person,surfboard,
person,sports ball,
sink,hair drier,bottle
airplane,,
bus,person,cell phone
train,person,handbag
couch,dining table,potted plant
person,backpack,cat
sheep,person,
person,sheep,handbag
boat,bird,
chair,person,bird
banana,person,
person,skis,
bus,person,car
person,skis,snowboard
person,bench,sandwich
dining table,pizza,person
bus,person,umbrella
surfboard,person,
sink,,
traffic light,person,handbag
person,tie,
bed,,
tv,keyboard,cup
person,chair,
person,kite,car
person,car,tie
person,bottle,cup
oven,pizza,knife
cow,,
banana,,
train,,
giraffe,,
oven,microwave,sink
sheep,,
elephant,,
cow,sheep,
teddy bear,,
person,skis,
fire hydrant,car,
truck,,
stop sign,,
person,kite,
person,toothbrush,
person,motorcycle,
person,surfboard,
airplane,,
bed,person,teddy bear
person,car,
person,car,truck
car,truck,traffic light
cat,tie,
sheep,person,
person,banana,bowl
person,baseball glove,sports ball
kite,car,person
motorcycle,person,
person,tennis racket,
dog,dining table,chair
person,snowboard,
chair,,
dining table,pizza,person
bicycle,car,traffic light
car,traffic light,truck
dining table,cake,sandwich
person,tennis racket,sports ball
person,remote,tv
laptop,cat,
cup,person,kite
cat,,
clock,,
bird,,
bed,teddy bear,cat
person,backpack,cell phone
person,handbag,cell phone
giraffe,,
person,skis,
giraffe,,
zebra,,
person,baseball glove,
cow,,
person,surfboard,
laptop,cat,
dining table,person,cake
dining table,bowl,cup
clock,,
zebra,,
dining table,pizza,bottle
bed,chair,dog
person,horse,cow
bear,,
person,car,truck
boat,,
bed,,
person,truck,car
truck,person,car
sink,bottle,cup
clock,,
train,person,handbag
bear,,
person,baseball bat,bottle
parking meter,potted plant,
person,scissors,
dining table,cup,pizza
cat,,
sandwich,pizza,chair
person,tv,book
horse,person,
person,dining table,book
bus,person,suitcase
dining table,person,chair
person,cow,boat
airplane,,
train,person,clock
elephant,train,
cat,,
person,skis,
bench,person,
person,chair,tennis racket
cat,bird,
person,remote,cell phone
refrigerator,chair,dining table
tv,cat,
kite,person,boat
surfboard,car,
person,oven,bowl
person,skateboard,
cat,,
train,person,horse
clock,car,stop sign
person,surfboard,
parking meter,car,traffic light
bird,,
car,bus,motorcycle
cat,carrot,
tv,keyboard,mouse
person,suitcase,truck
bus,,
person,pizza,dining table
bus,person,car
parking meter,car,stop sign
traffic light,car,person
person,bench,skateboard
traffic light,,
bed,cat,
cell phone,laptop,remote
bear,,
pizza,,
bus,,
bowl,dining table,sandwich
person,snowboard,
couch,dog,remote
bowl,banana,
broccoli,,
vase,,
motorcycle,,
train,person,bicycle
bus,person,
clock,person,
bird,,
clock,,
banana,person,cup
suitcase,book,
car,truck,bus
cat,sink,
person,baseball glove,sports ball
motorcycle,person,
bus,car,person
person,couch,potted plant
person,suitcase,
horse,,
bench,person,
person,chair,book
elephant,,
bus,car,traffic light
person,surfboard,
airplane,,
person,chair,cell phone
train,,
potted plant,orange,apple
bottle,book,cup
bowl,person,carrot
bed,remote,
chair,couch,potted plant
sandwich,,
dining table,banana,
clock,,
orange,,
orange,,
umbrella,person,
refrigerator,bottle,
train,person,suitcase
chair,dining table,person
oven,microwave,
boat,,
train,person,
motorcycle,bench,
person,tie,
person,,
truck,,
person,surfboard,
person,surfboard,
bear,,
person,tv,keyboard
bus,person,bicycle
donut,,
parking meter,,
train,,
boat,bicycle,car
clock,,
motorcycle,person,truck
car,bench,dog
cow,,
person,bed,
person,umbrella,truck
zebra,,
dining table,pizza,cup
broccoli,,
dining table,pizza,fork
person,chair,sports ball
toilet,,
person,tennis racket,
person,dining table,bowl
oven,microwave,bottle
person,motorcycle,car
person,,
dining table,cake,knife
bench,,
elephant,person,
sink,cup,bottle
train,bird,person
person,umbrella,handbag
person,,
suitcase,person,handbag
teddy bear,potted plant,banana
cake,fork,
person,chair,dining table
person,bench,handbag
couch,cat,laptop
clock,,
train,car,truck
person,dining table,cup
person,umbrella,
bed,suitcase,
giraffe,,
cake,,
bird,,
horse,bird,
bowl,broccoli,cup
train,person,
airplane,,
laptop,keyboard,
person,tennis racket,
person,skis,
sandwich,bowl,
airplane,,
clock,,
cat,,
bus,,
broccoli,,
suitcase,,
person,surfboard,
person,snowboard,
person,car,skateboard
person,skis,
cat,,
person,skis,snowboard
cow,bird,
fork,,
airplane,person,handbag
giraffe,,
person,cake,spoon
donut,,
train,person,backpack
bus,car,
banana,dining table,
person,oven,bottle
bench,person,bottle
fire hydrant,car,
car,person,traffic light
person,truck,traffic light
bowl,dining table,fork
zebra,,
orange,car,
person,keyboard,mouse
book,person,scissors
car,truck,
person,skateboard,car
kite,person,
person,baseball bat,baseball glove
person,dog,cup
bird,,
bowl,dining table,spoon
person,truck,frisbee
bear,,
dining table,cup,bowl
couch,person,dining table
airplane,,
person,kite,surfboard
kite,person,backpack
truck,person,fire hydrant
person,banana,
tv,person,sink
chair,bed,person
cow,,
donut,person,
person,tv,pizza
person,spoon,
bus,car,person
laptop,mouse,
giraffe,,
person,umbrella,
train,,
orange,fork,
toilet,person,
microwave,bottle,
person,skis,
person,frisbee,
cat,bottle,
giraffe,,
person,skateboard,
bed,person,
person,baseball glove,
cat,sink,
cat,bench,chair
person,,
person,bench,
dining table,person,cup
surfboard,bicycle,
toilet,,
suitcase,,
oven,refrigerator,bottle
person,dining table,bottle
bear,,
person,surfboard,
boat,,
person,fire hydrant,snowboard
cell phone,,
cat,keyboard,
person,motorcycle,
cow,,
person,frisbee,
car,bus,truck
person,frisbee,
bear,,
chair,laptop,tv
car,person,suitcase
train,person,car
boat,person,
person,surfboard,
person,surfboard,
truck,airplane,
person,tennis racket,chair
bottle,pizza,bowl
elephant,,
bowl,broccoli,carrot
boat,person,dog
person,cake,chair
pizza,,
giraffe,,
person,baseball bat,sports ball
chair,dog,
person,motorcycle,car
person,cake,bottle
bird,,
person,surfboard,
bowl,dining table,orange
dog,couch,
cat,,
bench,person,handbag
zebra,,
clock,,
cow,,
dining table,pizza,bottle
motorcycle,truck,
person,surfboard,
airplane,,
bowl,dining table,sandwich
person,skateboard,
fire hydrant,,
bed,person,tie
sink,toilet,
train,,
chair,tv,book
fork,,
airplane,person,
cake,dining table,
car,person,umbrella
umbrella,,
zebra,,
bird,,
zebra,,
dining table,broccoli,
person,cake,tie
bus,car,person
refrigerator,microwave,chair
horse,person,bus
bed,suitcase,backpack
bird,,
person,cell phone,
person,skis,
bowl,dining table,spoon
person,tennis racket,
laptop,cat,
person,chair,tv
person,baseball glove,
bus,person,cell phone
cake,person,cup
dining table,hot dog,chair
dining table,cake,cup
fire hydrant,,
car,traffic light,
truck,,
person,cell phone,
donut,dining table,cake
person,chair,remote
airplane,,
book,person,tv
person,surfboard,
dining table,carrot,
bed,dining table,chair
person,train,
motorcycle,person,backpack
chair,person,tennis racket
knife,carrot,
microwave,,
person,dining table,cup
dog,frisbee,
person,skateboard,
couch,book,bowl
person,skis,
person,skateboard,
fire hydrant,person,traffic light
fire hydrant,car,bus
person,frisbee,handbag
boat,,
couch,suitcase,laptop
train,,
bed,book,
giraffe,,
parking meter,,
motorcycle,,
scissors,,
person,tennis racket,sports ball
cell phone,person,
sheep,cow,
refrigerator,person,bowl
person,bicycle,boat
car,truck,traffic light
person,suitcase,handbag
clock,,
person,boat,car
clock,,
truck,,
sheep,,
toilet,sink,
stop sign,car,
sandwich,banana,cup
tv,book,keyboard
bowl,carrot,dining table
sink,toilet,bottle
dining table,cake,knife
person,dining table,bowl
person,skateboard,
bus,person,traffic light
person,surfboard,
boat,bench,
person,couch,remote
person,tennis racket,chair
tennis racket,sports ball,
traffic light,,
elephant,,
person,bench,skis
train,,
person,kite,tie
airplane,,
giraffe,,
dog,,
oven,refrigerator,potted plant
person,skis,
horse,person,
person,truck,bowl
dining table,carrot,fork
person,bear,bottle
truck,car,bus
giraffe,,
sink,cup,bottle
banana,,
cat,,
motorcycle,,
tv,laptop,cup
cow,,
clock,,
car,person,chair
traffic light,car,bus
person,car,skateboard
apple,,
snowboard,,
person,skateboard,
train,,
skateboard,,
traffic light,person,bus
zebra,,
oven,suitcase,bottle
chair,dining table,sink
person,bus,handbag
banana,bowl,
truck,person,
person,baseball glove,baseball bat
dog,person,frisbee
bird,,
cow,,
bed,person,toilet
horse,person,
refrigerator,person,bottle
person,bed,cat
cow,,
person,bicycle,skateboard
person,tennis racket,chair
hot dog,sandwich,cup
bear,,
person,,
pizza,,
person,skateboard,
person,skis,
person,bottle,
person,umbrella,
cat,keyboard,tv
bird,,
person,wine glass,cell phone
dining table,person,cup
person,skateboard,
vase,,
surfboard,person,
sink,toilet,potted plant
book,teddy bear,
bus,person,traffic light
dining table,bowl,sandwich
train,bench,
refrigerator,couch,bottle
bus,person,
horse,person,
airplane,,
banana,person,apple
bed,chair,
refrigerator,sink,
motorcycle,person,
cup,dog,
motorcycle,person,handbag
train,,
elephant,,
person,car,skateboard
truck,kite,person
bus,car,person
person,skis,backpack
person,umbrella,
zebra,,
person,chair,apple
person,surfboard,
person,carrot,banana
person,tennis racket,sports ball
dining table,vase,bicycle
person,surfboard,
dining table,pizza,fork
person,car,skis
person,book,baseball bat
person,baseball glove,baseball bat
bed,person,
car,traffic light,person
person,tennis racket,
person,boat,tie
airplane,person,
fire hydrant,,
train,person,backpack
zebra,,
truck,car,
bench,person,suitcase
person,bicycle,teddy bear
person,bottle,cell phone
motorcycle,person,
person,surfboard,
zebra,,
person,tennis racket,
motorcycle,person,handbag
car,truck,person
person,suitcase,handbag
person,tennis racket,
sheep,,
motorcycle,,
clock,,
person,motorcycle,car
bus,,
suitcase,person,
elephant,,
bird,,
dining table,cake,cup
person,chair,tennis racket
person,tie,
cat,laptop,oven
bench,person,book
person,bowl,donut
person,couch,pizza
elephant,person,
boat,person,
person,skateboard,
person,frisbee,chair
person,skateboard,
stop sign,,
cat,cup,
elephant,,
bus,car,truck
cow,bird,
cat,,
person,chair,tennis racket
person,tennis racket,chair
boat,person,
person,bed,laptop
bear,,
boat,,
bird,,
person,skis,
airplane,,
surfboard,person,
cake,dining table,
person,giraffe,
person,tie,
book,chair,couch
dining table,bench,
person,hot dog,
person,baseball bat,baseball glove
person,skis,backpack
train,person,
car,traffic light,
person,oven,spoon
dining table,person,sandwich
person,car,handbag
person,couch,dining table
train,,
person,umbrella,handbag
dog,frisbee,
dining table,chair,refrigerator
person,skis,
bird,,
tv,laptop,keyboard
kite,person,
person,surfboard,
pizza,broccoli,bottle
truck,traffic light,car
person,tie,
person,baseball bat,sports ball
umbrella,chair,person
oven,bottle,knife
elephant,,
bus,car,truck
dining table,cup,sandwich
dining table,person,pizza
tv,keyboard,bottle
toilet,,
sandwich,bottle,wine glass
sheep,person,handbag
dining table,sandwich,
person,clock,handbag
train,bench,car
bed,book,potted plant
person,tie,
couch,book,bench
airplane,,
horse,person,
airplane,,
donut,,
person,handbag,
person,baseball bat,
couch,person,laptop
person,kite,
bowl,broccoli,carrot
person,chair,scissors
traffic light,bench,fire hydrant
microwave,bowl,spoon
person,wine glass,
person,chair,hot dog
oven,car,
chair,person,bird
person,laptop,
person,surfboard,
person,oven,bowl
elephant,,
tv,couch,book
dining table,person,pizza
person,surfboard,
person,bottle,handbag
cat,bird,
fire hydrant,car,traffic light
person,truck,bus
zebra,elephant,
person,tennis racket,
cow,,
giraffe,,
dining table,person,bottle
laptop,chair,potted plant
giraffe,zebra,
airplane,,
donut,dining table,
motorcycle,person,handbag
bear,,
suitcase,cat,backpack
car,truck,umbrella
cow,bird,
person,car,backpack
person,banana,cup
dining table,bowl,spoon
giraffe,,
person,couch,tv
dining table,person,cake
person,tie,cup
person,tennis racket,sports ball
person,baseball bat,
person,umbrella,backpack
car,,
cup,banana,book
person,tennis racket,
person,skis,
couch,tv,teddy bear
elephant,person,
person,chair,sports ball
toilet,,
person,bench,handbag
person,wine glass,bottle
person,chair,laptop
elephant,,
bed,,
person,teddy bear,umbrella
horse,person,
parking meter,,
person,couch,book
train,bench,bicycle
horse,,
kite,person,
book,clock,
pizza,,
airplane,car,truck
person,surfboard,
person,dog,
person,sheep,car
car,,
bus,person,
person,baseball bat,baseball glove
bus,person,tie
person,tie,
refrigerator,cat,
airplane,person,
giraffe,,
bicycle,car,
laptop,mouse,
person,tennis racket,sports ball
giraffe,,
person,skis,
boat,,
toilet,person,potted plant
giraffe,,
surfboard,person,dog
couch,chair,potted plant
parking meter,car,person
person,truck,sheep
person,surfboard,
laptop,keyboard,
person,banana,
person,bench,sports ball
clock,,
dining table,person,cake
clock,spoon,
dog,bottle,
umbrella,bottle,car
cow,,
person,kite,
stop sign,,
car,parking meter,
clock,,
tv,person,
giraffe,,
person,tennis racket,
vase,bowl,cup
bed,person,
traffic light,car,fire hydrant
tv,chair,refrigerator
cat,bed,
person,tennis racket,
person,snowboard,
person,dining table,refrigerator
horse,,
fire hydrant,,
suitcase,umbrella,
train,car,stop sign
person,dining table,handbag
cat,,
toaster,,
person,sports ball,
person,baseball glove,baseball bat
dog,,
cow,,
bicycle,,
umbrella,chair,
car,person,motorcycle
dining table,cake,donut
bed,person,bottle
person,bench,
person,car,traffic light
bowl,apple,person
person,dining table,refrigerator
fire hydrant,dog,
person,pizza,
clock,bird,
refrigerator,,
umbrella,boat,chair
bench,chair,
bottle,person,wine glass
tv,laptop,cup
couch,chair,suitcase
bus,truck,person
person,chair,donut
chair,laptop,keyboard
horse,person,
stop sign,,
kite,bench,person
broccoli,,
cow,,
zebra,,
microwave,teddy bear,
sink,toilet,
dining table,wine glass,person
bench,,
horse,person,
person,skateboard,
sheep,,
stop sign,,
laptop,chair,dining table
chair,teddy bear,
donut,person,
person,tennis racket,
pizza,,
person,potted plant,vase
person,broccoli,carrot
bus,train,person
bus,traffic light,car
teddy bear,person,handbag
dining table,person,chair
person,skateboard,
clock,,
train,,
person,toilet,sink
giraffe,,
bird,,
person,chair,baseball glove
couch,chair,person
person,chair,tennis racket
person,bench,bird
boat,,
person,umbrella,
motorcycle,person,
bus,person,backpack
bus,person,car
pizza,dining table,
teddy bear,,
banana,apple,orange
person,skis,
person,couch,laptop
car,bus,person
bear,,
elephant,person,
kite,person,
toilet,,
person,toothbrush,
toilet,bottle,
bird,boat,person
keyboard,mouse,
horse,,
person,skis,
person,skis,
person,kite,
kite,person,
train,,
kite,,
vase,,
person,kite,
train,,
couch,tv,
car,airplane,truck
dining table,donut,
stop sign,,
dining table,cup,fork
dining table,cake,fork
airplane,person,
toilet,,
car,cat,person
person,cell phone,
apple,cell phone,person
traffic light,,
cow,,
elephant,,
person,skis,
dog,,
person,chair,tennis racket
suitcase,,
stop sign,,
airplane,,
giraffe,,
person,laptop,
horse,person,
person,surfboard,
cat,book,chair
tv,person,couch
bed,person,book
dining table,oven,toaster
elephant,,
truck,car,
bench,,
person,baseball glove,baseball bat
dining table,cup,book
bench,teddy bear,
orange,bowl,dining table
bicycle,train,person
giraffe,,
boat,bench,
bed,laptop,
umbrella,person,clock
airplane,,
horse,,
sandwich,cup,fork
train,person,
person,surfboard,
skateboard,,
bus,person,
person,snowboard,skis
bear,,
couch,dining table,book
suitcase,backpack,chair
clock,bird,
person,surfboard,
person,surfboard,
refrigerator,chair,microwave
vase,,
bicycle,person,tie
couch,chair,tv
airplane,,
person,tie,
teddy bear,potted plant,
person,skis,
giraffe,,
boat,,
person,surfboard,
bowl,cake,
traffic light,truck,person
truck,,
elephant,person,
clock,,
clock,traffic light,
person,remote,
bed,person,
traffic light,,
toilet,cat,
person,dining table,chair
dining table,cell phone,
person,teddy bear,
bicycle,cat,
boat,bus,truck
couch,person,dining table
pizza,,
dining table,bowl,apple
chair,oven,vase
giraffe,,
cow,person,bird
bus,truck,
zebra,,
airplane,,
dining table,oven,chair
person,handbag,car
dog,bed,bowl
dog,,
person,snowboard,
bowl,broccoli,
horse,,
person,chair,baseball glove
bed,book,remote
horse,,
car,truck,parking meter
person,truck,handbag
person,tie,
person,handbag,cell phone
pizza,bottle,
person,skateboard,
train,traffic light,
bus,person,
person,chair,pizza
zebra,,
sandwich,dining table,apple
broccoli,fork,
truck,clock,
person,train,bus
clock,,
kite,truck,person
horse,person,
person,remote,chair
person,bear,
clock,,
person,skis,
truck,person,
cow,,
person,tennis racket,sports ball
person,bicycle,skateboard
person,dog,handbag
bear,sports ball,
giraffe,,
truck,,
car,potted plant,clock
surfboard,person,
potted plant,sink,bottle
fire hydrant,,
potted plant,vase,
laptop,keyboard,bottle
person,sports ball,
potted plant,bench,person
tv,person,bicycle
dog,,
train,bench,
person,snowboard,
chair,umbrella,potted plant
refrigerator,oven,dining table
person,car,fire hydrant
horse,,
zebra,,
bus,parking meter,
person,surfboard,
person,sandwich,hot dog
couch,chair,person
airplane,person,
umbrella,person,bowl
airplane,,
person,boat,suitcase
person,umbrella,
clock,,
airplane,,
person,skateboard,
bird,,
person,bench,baseball bat
clock,,
hot dog,person,
toilet,book,
person,bowl,
person,clock,chair
airplane,,
train,,
person,surfboard,
train,person,
sheep,,
teddy bear,,
person,kite,
kite,,
giraffe,bird,
sheep,,
bench,orange,
sink,handbag,cup
person,dining table,chair
zebra,,
airplane,car,
person,skis,
bicycle,bench,dog
refrigerator,bottle,
person,clock,backpack
dining table,umbrella,chair
person,handbag,cell phone
person,tennis racket,
suitcase,book,
airplane,,
bench,,
cow,horse,
donut,person,hot dog
person,bench,tennis racket
donut,,
bed,cat,person
bed,chair,dog
tv,chair,keyboard
tennis racket,person,bed
airplane,car,person
bus,person,car
person,apple,banana
teddy bear,,
umbrella,person,chair
horse,person,dog
cow,horse,
bear,,
person,bowl,potted plant
person,skis,snowboard
couch,dog,sports ball
person,toothbrush,
cat,tv,keyboard
zebra,,
bus,person,bicycle
motorcycle,bicycle,person
airplane,,
tv,keyboard,laptop
cow,,
laptop,bed,cat
elephant,person,
kite,bench,person
person,bus,motorcycle
refrigerator,bottle,
dining table,pizza,bottle
cat,,
cow,,
bus,car,person
dining table,orange,knife
person,cell phone,
banana,,
cow,,
car,truck,person
clock,,
cake,car,cell phone
person,chair,tennis racket
boat,person,surfboard
boat,person,
bus,car,person
person,tennis racket,
dog,toilet,
scissors,,
person,umbrella,
bird,,
bird,,
bench,,
boat,person,
cell phone,person,
donut,,
dining table,wine glass,chair
person,baseball glove,
sheep,person,handbag
person,dining table,chair
dog,,
person,chair,potted plant
toilet,,
sheep,dog,
cat,laptop,
clock,,
motorcycle,truck,car
horse,,
tv,cat,keyboard
person,skis,
person,surfboard,
dining table,bowl,broccoli
sink,,
person,remote,
person,backpack,baseball glove
fire hydrant,person,
person,skis,
toilet,sink,potted plant
dog,,
zebra,,
zebra,,
bird,,
orange,cup,
horse,person,dog
horse,person,clock
chair,couch,dining table
motorcycle,person,
person,skis,snowboard
toilet,sink,bottle
cow,,
bird,,
giraffe,zebra,car
bottle,,
person,tennis racket,
car,traffic light,
bowl,broccoli,
airplane,,
couch,dining table,tv
teddy bear,person,
sandwich,cup,bowl
couch,chair,tv
vase,,
train,chair,person
broccoli,carrot,
truck,traffic light,car
dining table,pizza,person
person,chair,tie
person,tv,suitcase
person,cow,chair
bowl,spoon,
parking meter,,
train,,
person,bicycle,car
toilet,,
person,sports ball,
toilet,sink,
person,baseball glove,baseball bat
person,surfboard,
horse,person,
toilet,sink,
tv,book,person
train,,
truck,,
bus,,
clock,,
toilet,,
person,surfboard,backpack
toilet,dog,bottle
person,tennis racket,sports ball
traffic light,,
car,carrot,person
dining table,bowl,tv
person,cow,
bird,,
elephant,,
cow,,
airplane,,
toilet,,
chair,refrigerator,dog
scissors,,
cake,cup,dining table
person,skis,snowboard
person,surfboard,
person,microwave,pizza
person,backpack,handbag
train,traffic light,
boat,person,handbag
dog,bench,
zebra,,
person,teddy bear,toilet
cake,surfboard,
vase,book,
dog,,
giraffe,,
cake,knife,
car,potted plant,person
dining table,hot dog,person
airplane,person,
airplane,,
bus,book,person
person,skis,
sheep,,
horse,person,bus
person,surfboard,
toilet,cup,
person,dining table,couch
potted plant,vase,
person,snowboard,
person,skis,
person,couch,cell phone
oven,potted plant,book
person,dining table,cup
umbrella,person,
person,tie,fire hydrant
person,giraffe,
truck,bus,person
umbrella,person,chair
vase,,
stop sign,truck,
person,chair,baseball glove
potted plant,vase,
train,bus,car
person,surfboard,
refrigerator,oven,microwave
keyboard,cell phone,
person,frisbee,
truck,,
sink,toilet,
person,skateboard,car
clock,person,
clock,person,
parking meter,car,motorcycle
person,baseball bat,baseball glove
train,car,horse
bowl,broccoli,knife
clock,,
cow,,
bicycle,bed,chair
boat,truck,car
dining table,bowl,apple
cow,sheep,
train,car,
person,surfboard,
train,person,umbrella
bus,,
person,skis,
cow,,
person,wine glass,car
sandwich,dining table,orange
cat,keyboard,book
dining table,pizza,cup
bicycle,person,suitcase
sink,toilet,bowl
refrigerator,person,oven
person,bus,umbrella
giraffe,,
train,,
oven,bottle,cup
person,tennis racket,
train,person,
horse,,
book,laptop,
sheep,,
vase,horse,
refrigerator,bottle,
cow,boat,person
person,car,cell phone
person,bed,bottle
book,cat,chair
train,person,handbag
person,bicycle,handbag
bird,,
dog,bed,potted plant
person,bench,baseball glove
car,bus,traffic light
train,,
sheep,,
carrot,orange,bowl
elephant,person,
couch,dog,remote
person,skis,
banana,,
bear,,
laptop,backpack,
person,dining table,chair
person,dining table,umbrella
refrigerator,sink,oven
bench,dog,frisbee
giraffe,,
bed,cup,donut
refrigerator,toaster,sink
car,person,handbag
dining table,bottle,cup
train,traffic light,
potted plant,vase,book
person,backpack,skis
car,dog,person
car,traffic light,
dining table,bowl,cup
train,,
person,bowl,book
person,tie,
bus,person,
person,surfboard,
sink,bottle,
cup,dining table,orange
person,sports ball,car
car,stop sign,fire hydrant
person,baseball bat,baseball glove
refrigerator,sink,bowl
sheep,car,
person,baseball glove,sports ball
person,tie,
bear,,
person,horse,
refrigerator,oven,handbag
couch,chair,tv
elephant,,
orange,bowl,
person,skis,backpack
vase,dining table,cup
giraffe,,
stop sign,,
person,bench,suitcase
hot dog,cup,
person,banana,
bus,car,person
person,sandwich,bowl
dining table,sandwich,bottle
pizza,,
bench,person,dining table
carrot,spoon,
airplane,,
zebra,,
cat,book,
person,surfboard,
sheep,,
vase,,
person,skateboard,
zebra,,
car,,
person,dining table,bench
person,surfboard,
dining table,sandwich,bowl
surfboard,umbrella,
truck,cow,
fire hydrant,,
person,tennis racket,sports ball
train,person,
motorcycle,person,
bus,person,
sink,toilet,bottle
person,surfboard,
person,skateboard,
cow,,
clock,,
person,snowboard,
person,sports ball,bench
orange,,
laptop,cat,chair
clock,,
toilet,sink,
bowl,apple,
oven,broccoli,carrot
person,bench,skateboard
horse,,
car,person,bus
person,chair,sports ball
person,surfboard,
person,tennis racket,sports ball
person,surfboard,
person,surfboard,
person,baseball bat,
person,cup,wine glass
person,skateboard,
dining table,carrot,knife
person,umbrella,handbag
person,bed,book
person,tennis racket,handbag
train,,
toilet,cat,
chair,refrigerator,bowl
person,tennis racket,chair
person,baseball glove,
person,couch,surfboard
person,snowboard,
car,dog,bench
person,umbrella,chair
train,stop sign,
cat,toilet,sink
knife,fork,
bowl,knife,
toilet,,
airplane,truck,person
bench,,
suitcase,person,
clock,person,
person,tie,wine glass
car,person,skateboard
person,couch,tie
person,banana,
book,chair,apple
car,fire hydrant,person
clock,,
tv,cat,laptop
bird,,
chair,tv,laptop
bird,,
person,bench,car
person,airplane,handbag
giraffe,,
person,surfboard,
sheep,dog,
bird,,
person,dining table,cup
person,skateboard,
bench,person,
person,motorcycle,bicycle
train,person,
person,snowboard,backpack
broccoli,fork,carrot
person,backpack,skis
boat,person,dog
clock,car,
parking meter,car,person
parking meter,car,
